sNET, RSS of Yobs-YNF without the left out experiment, RSS of Pobs-PNF without the left out experiment, WRSS of Yobs-YNF without the left out experiment, WRSS of Pobs-PNF without the left out experiment, RSS of Yobs without the left out experiment , RSS of Pobs without the left out experiment , WRSS of Yobs without the left out experiment , WRSS of Pobs without the left out experiment , RSS(Yobs), RSS(Pobs), WRSS(Yobs), WRSS(Pobs), RSS(Eobs), RSS(Fobs), WRSS(Eobs), WRSS(Fobs), RSS(Yobs-Ypred) LOO, RSS(Pobs-Ppred) LOO, WRSS(Yobs-Ypred) LOO, WRSS(Pobs-Ppred) LOO, Y pred for LOO, RSS of linear combination of P, WRSS of prediction of Y, SPCorr, relErrorY, relErrorP, relErrorYdouble, relErrorPdouble
indegreeRandomFit_Bolasso_network_L1325_M115_support97.5_8.76e-04,1039.25,20.9014,734.813,1451.48,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1030.03,21.9675,728.3,1525.52,136710,19.7585,96662.4,1372.12,136710,25.0835,96662.4,0.145389,0.339515,0.305385,0.324506,0.313821
FITBolsco_network_L151_M115_support64_6.50e-02,1003.08,20.5214,709.241,1425.09,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,875.042,22.7141,618.71,1577.37,139742,18.758,98806.4,1302.64,139742,25.0835,98806.4,0.304429,0.333878,0.305867,0.275677,0.324487
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1136.01,24.5223,803.23,1702.94,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1049.73,26.4632,742.225,1837.72,150132,23.6336,106153,1641.22,150132,25.0835,106153,0.219848,0.380107,0.344975,0.33071,0.378046
FITBotlsco_network_L374_M115_support62.6_4.25e-02,640.765,12.4491,453.062,864.518,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,532.822,14.7418,376.739,1023.73,152259,13.9252,107657,967.03,152259,25.0835,107657,0.173645,0.212641,0.183657,0.167862,0.210596
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1043.18,23.9582,737.598,1663.76,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1180.29,23.5579,834.542,1635.96,153147,22.4083,108285,1556.13,153147,25.0835,108285,0.283973,0.317957,0.358585,0.371844,0.336541
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1253.05,27.3248,885.983,1897.55,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1298.99,27.9796,918.468,1943.03,158607,24.7291,112145,1717.3,158607,25.0835,112145,0.0575821,0.398029,0.407975,0.409239,0.399708
FITBolsco_network_L1519_M115_support96.7_1.03e-03,985.317,20.3689,696.682,1414.51,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,904.539,21.9389,639.566,1523.54,172567,18.4723,122016,1282.8,172567,25.0835,122016,0.219652,0.329671,0.304661,0.284969,0.313413
FITBolsco_network_L1202_M115_support97.1_5.41e-03,939.877,21.1684,664.552,1470.03,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,916.07,22.33,647.72,1550.7,180494,19.3197,127621,1341.65,180494,25.0835,127621,0.169494,0.339127,0.303032,0.288602,0.319
FITBotlsco_network_L741_M115_support82.5_1.86e-02,609.934,12.4205,431.262,862.532,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,630.323,12.7213,445.679,883.422,191745,13.129,135576,911.734,191745,25.0835,135576,0.327954,0.208476,0.177649,0.198579,0.181732
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1217.23,25.8204,860.662,1793.09,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1229.84,26.7496,869.575,1857.61,192787,22.282,136313,1547.36,192787,25.0835,136313,0.11592,0.388901,0.372647,0.387454,0.382137
FITBolsco_network_L109_M115_support46.5_8.57e-02,867.641,18.0174,613.477,1251.2,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,775.166,20.039,548.091,1391.6,217591,18.672,153851,1296.67,217591,25.0835,153851,0.18794,0.2884,0.262156,0.244211,0.286271
FITBotlsco_network_L59_M115_support4.4_2.23e-01,6.04271,66.6406,4.27258,4627.82,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,6.21855,68.6006,4.39691,4763.93,239314,98.0954,169210,6812.18,239314,25.0835,169210,0.0463828,0.00146869,0.973684,0.00195912,0.980008
FITBolsco_network_L499_M115_support85.7_2.15e-02,715.751,17.2763,506.082,1199.75,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,727.025,17.8934,514.053,1242.59,241270,17.6499,170593,1225.69,241270,25.0835,170593,0.257927,0.236448,0.255315,0.229045,0.255619
FITBolsco_network_L151_M115_support38.6_6.50e-02,767.803,15.8013,542.885,1097.31,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,676.736,17.7568,478.495,1233.11,246940,15.2636,174602,1059.97,246940,25.0835,174602,0.255989,0.229763,0.249034,0.213202,0.253669
FITBotlsco_network_L170_M115_support26.4_9.74e-02,726.209,14.2424,513.476,989.054,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,735.302,14.7839,519.905,1026.66,255519,14.3278,180668,994.983,255519,25.0835,180668,0.114291,0.241207,0.209009,0.231652,0.211199
FITBolsco_network_L206_M115_support54.8_4.93e-02,735.75,15.101,520.222,1048.68,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,701.597,16.2683,496.073,1129.74,260013,15.5035,183846,1076.63,260013,25.0835,183846,0.238701,0.255734,0.217483,0.221034,0.232404
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1077.7,22.7692,761.999,1581.2,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1179.3,22.7787,833.837,1581.86,279840,19.8115,197864,1375.8,279840,25.0835,197864,0.153694,0.313373,0.34563,0.37153,0.32541
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1014.01,23.8019,716.97,1652.91,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1138.21,23.0438,804.79,1600.26,284461,23.5809,201132,1637.56,284461,25.0835,201132,0.174143,0.315761,0.342642,0.358587,0.329197
FITBolasso_network_L567_M115_support93.2_6.06e-03,1109.21,24.6619,784.279,1712.63,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1248.58,24.7087,882.827,1715.88,293572,20.8672,207574,1449.11,293572,25.0835,207574,0.214338,0.372439,0.352568,0.393358,0.352981
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1064.37,22.154,752.577,1538.47,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1064.32,23.1339,752.544,1606.52,310850,19.9226,219791,1383.51,310850,25.0835,219791,0.0950715,0.344844,0.319543,0.335308,0.330485
FITBolsco_network_L1466_M115_support99.3_1.79e-03,980.779,20.057,693.473,1392.85,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1023.95,20.4978,723.996,1423.46,326361,18.624,230758,1293.34,326361,25.0835,230758,0.197794,0.329175,0.297191,0.322589,0.292826
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1082,23.8522,765.041,1656.4,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1099.45,24.7134,777.383,1716.21,354448,20.5697,250617,1428.45,354448,25.0835,250617,0.188828,0.342031,0.346415,0.346376,0.353049
FITBolsco_network_L1568_M115_support96.9_4.51e-04,999.811,22.2664,706.93,1546.28,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1038.96,22.8386,734.614,1586.01,384290,19.8554,271718,1378.85,384290,25.0835,271718,0.211462,0.341145,0.329763,0.327319,0.326266
FITBolsco_network_L109_M115_support21.7_8.57e-02,798.741,16.4019,564.76,1139.02,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,810.172,16.9851,572.843,1179.52,428633,17.9626,303070,1247.4,428633,25.0835,303070,0.212685,0.226618,0.265589,0.25524,0.242645
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1066.66,24.6488,754.198,1711.72,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1084.96,25.5004,767.136,1770.86,453796,23.992,320863,1666.11,453796,25.0835,320863,0.304884,0.327407,0.36766,0.34181,0.364291
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1150.79,24.9623,813.683,1733.49,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1127.18,26.2132,796.987,1820.36,468967,22.1403,331590,1537.52,468967,25.0835,331590,0.277291,0.384207,0.363362,0.355111,0.374475
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1033.72,24.1197,730.906,1674.98,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1020.36,25.4488,721.457,1767.28,469403,19.9785,331898,1387.4,469403,25.0835,331898,0.14261,0.343221,0.352597,0.321457,0.363555
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1072.8,22.4772,758.536,1560.91,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1027.74,23.9338,726.679,1662.07,509330,20.3336,360129,1412.06,509330,25.0835,360129,0.146742,0.330428,0.33014,0.323784,0.341911
FITBolsco_network_L949_M115_support94.5_9.40e-03,929.739,20.8728,657.384,1449.5,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,992.61,21.1322,701.838,1467.51,509475,18.1556,360231,1260.81,509475,25.0835,360231,0.285946,0.344695,0.29749,0.312716,0.301888
complimentRandomFit_Bolasso_network_L1325_M115_support97.5_8.76e-04,90.498,132.826,63.9879,9224.03,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,2.19815,146.487,1.55423,10172.7,520642,191.928,368127,13328.4,520642,25.0835,368127,0.107459,0.000628205,2.12654,0.000692513,2.09267
FITBolsco_network_L1598_M115_support100.1_2.71e-06,883.159,20.329,624.45,1411.74,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1006.54,20.0215,711.688,1390.38,540595,17.6552,382235,1226.06,540595,25.0835,382235,0.118631,0.301161,0.292517,0.317104,0.286021
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,36.4184,209.124,25.7501,14522.5,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,7.40794,220.694,5.23788,15326,552438,435.836,390609,30266.4,552438,25.0835,390609,0.224768,0.00248069,3.14389,0.00233383,3.15277
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1141.88,25.096,807.384,1742.78,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1087.79,26.6729,769.14,1852.28,565254,23.1088,399670,1604.77,565254,25.0835,399670,0.235707,0.340881,0.379643,0.342703,0.381041
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1131.88,26.3491,800.311,1829.8,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1121.49,27.5068,792.965,1910.2,643693,22.1767,455132,1540.05,643693,25.0835,455132,0.104917,0.360192,0.394275,0.353319,0.392955
FITBolasso_network_L1600_M115_support100.1_5.88e-07,868.251,17.6253,613.909,1223.98,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,905.618,17.9951,640.329,1249.66,667909,15.8998,472254,1104.16,667909,25.0835,472254,0.0990949,0.299141,0.252398,0.285309,0.257073
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1097.23,22.8701,775.812,1588.2,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1062.26,24.1742,751.086,1678.77,679047,20.6373,480129,1433.15,679047,25.0835,480129,0.137529,0.339443,0.334189,0.334659,0.345346
FITBolsco_network_L649_M115_support87.3_1.63e-02,976.505,21.0685,690.451,1463.09,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1040.22,21.3584,735.501,1483.22,679687,18.3304,480582,1272.95,679687,25.0835,480582,0.181487,0.299229,0.321662,0.327714,0.30512
FITBotlsco_network_L230_M115_support23.8_7.39e-02,606.135,11.9982,428.576,833.208,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,510.956,14.054,361.278,975.975,683193,12.8,483061,888.891,683193,25.0835,483061,-0.0513868,0.187707,0.179415,0.160973,0.200772
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1111.98,22.8517,786.242,1586.92,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1109.51,23.8226,784.496,1654.35,688767,19.5501,487002,1357.65,688767,25.0835,487002,0.0861427,0.363865,0.331184,0.349545,0.340323
FITBolasso_network_L1325_M115_support97.5_8.76e-04,1081.83,24.4465,764.921,1697.67,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1213.79,24.4375,858.228,1697.05,712530,20.7208,503804,1438.94,712530,25.0835,503804,0.103892,0.325381,0.361471,0.382398,0.349108
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1112.84,23.2559,786.848,1615,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1129.08,24.0956,798.333,1673.3,759075,21.6999,536715,1506.94,759075,25.0835,536715,0.191519,0.367125,0.33352,0.355711,0.344223
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1089.57,23.1263,770.395,1606,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1144.55,23.5184,809.268,1633.22,820788,22.7202,580349,1577.79,820788,25.0835,580349,0.182954,0.365068,0.328522,0.360583,0.335978
FITBolsco_network_L1556_M115_support96.9_5.94e-04,1042.71,21.7694,737.262,1511.77,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1080.16,22.3388,763.743,1551.3,840316,19.2943,594157,1339.88,840316,25.0835,594157,0.13538,0.296263,0.342846,0.340299,0.319125
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1258.37,27.0482,889.746,1878.35,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1388.29,27.1303,981.608,1884.05,842819,23.0664,595926,1601.83,842819,25.0835,595926,0.158536,0.407771,0.390225,0.437372,0.387575
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1165.23,24.7735,823.893,1720.38,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1166,25.7606,824.437,1788.93,850462,19.9474,601330,1385.24,850462,25.0835,601330,0.150245,0.402287,0.355988,0.367342,0.368009
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1293.68,28.1639,914.717,1955.82,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1215.26,29.7722,859.267,2067.51,1013670,23.7724,716729,1650.86,1013670,25.0835,716729,0.128589,0.388428,0.423309,0.382861,0.425317
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,902.273,20.864,637.964,1448.89,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,904.402,21.7694,639.47,1511.76,1029870,22.4303,728186,1557.66,1029870,25.0835,728186,0.248053,0.284894,0.295865,0.284926,0.310991
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1114.95,24.134,788.337,1675.98,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1172.6,24.5975,829.106,1708.16,1044370,21.8479,738435,1517.21,1044370,25.0835,738435,0.178934,0.33106,0.357582,0.369422,0.351392
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1151.41,23.9674,814.117,1664.4,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1060.68,26.0448,749.966,1808.67,1069750,22.351,756383,1552.15,1069750,25.0835,756383,0.216099,0.389419,0.348491,0.33416,0.372069
FITBolsco_network_L1598_M115_support100.1_1.86e-06,795.166,15.9941,562.233,1110.7,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,696.291,17.9797,492.322,1248.59,1134690,16.2247,802299,1126.72,1134690,25.0835,802299,0.0729018,0.25725,0.23331,0.219362,0.256853
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1016.66,23.3294,718.841,1620.1,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1122.45,23.1914,793.643,1610.51,1211370,19.8941,856517,1381.54,1211370,25.0835,856517,0.271296,0.334139,0.330934,0.353621,0.331306
FITBotlsco_network_L230_M115_support65.1_7.39e-02,1350.74,29.4694,955.058,2046.49,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1329.61,30.7883,940.117,2138.07,1230710,25.3391,870189,1759.66,1230710,25.0835,870189,0.27016,0.456738,0.433114,0.418884,0.439832
FITBolsco_network_L1598_M115_support100.1_4.54e-06,1031.44,23.4275,729.297,1626.91,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1061.3,24.0961,750.409,1673.34,1233970,20.5137,872495,1424.56,1233970,25.0835,872495,0.106488,0.318207,0.346126,0.334357,0.344231
FITBolsco_network_L1519_M115_support99.7_1.03e-03,1129.59,25.6776,798.691,1783.17,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1192.68,26.1903,843.301,1818.77,1246210,22.9505,881148,1593.79,1246210,25.0835,881148,0.19905,0.370416,0.377662,0.375747,0.374147
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1046.71,24.0294,740.087,1668.71,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1108.64,24.3671,783.876,1692.16,1290100,20.5783,912182,1429.05,1290100,25.0835,912182,0.212451,0.3693,0.327514,0.349269,0.348101
FITBotlsco_network_L494_M115_support70.1_3.23e-02,632.801,12.4298,447.431,863.18,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,652.678,12.754,461.485,885.695,1469650,12.7397,1039130,884.702,1469650,25.0835,1039130,0.0388976,0.164991,0.209676,0.205622,0.1822
FITBolsco_network_L275_M115_support67.4_3.74e-02,781.465,18.9946,552.545,1319.07,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,781.864,19.8251,552.827,1376.75,1496620,19.0487,1058200,1322.83,1496620,25.0835,1058200,0.126149,0.254231,0.285736,0.246321,0.283216
FITBolsco_network_L275_M115_support74.9_3.74e-02,822.713,16.6247,581.711,1154.49,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,796.397,17.6729,563.103,1227.28,1631910,16.1491,1153860,1121.46,1631910,25.0835,1153860,0.119463,0.284679,0.238242,0.2509,0.25247
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1025.21,23.5305,724.887,1634.06,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1107.16,23.7508,782.831,1649.36,1634320,21.1924,1155570,1471.69,1634320,25.0835,1155570,0.14813,0.312032,0.345084,0.348803,0.339297
FITBolasso_network_L1599_M115_support97.1_5.88e-06,1045.32,22.6686,739.111,1574.21,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1142.16,22.8303,807.58,1585.44,1810160,20.5626,1279900,1427.96,1810160,25.0835,1279900,0.11635,0.35601,0.322842,0.359831,0.326147
FITBolasso_network_L1599_M115_support97.1_2.73e-06,1038.56,22.6583,734.33,1573.49,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1150.53,22.7034,813.5,1576.63,1818270,20.5195,1285630,1424.96,1818270,25.0835,1285630,0.126246,0.362719,0.319509,0.362469,0.324335
FITBolasso_network_L1600_M115_support97.1_1.27e-06,1038.56,22.6583,734.33,1573.49,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1150.53,22.7034,813.5,1576.63,1818270,20.5195,1285630,1424.96,1818270,25.0835,1285630,0.126246,0.362719,0.319509,0.362469,0.324335
FITBolasso_network_L1600_M115_support97.1_1.27e-07,1049.79,22.7936,742.268,1582.89,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1065.68,23.5521,753.502,1635.56,1850730,20.496,1308580,1423.33,1850730,25.0835,1308580,0.0887417,0.363676,0.323911,0.335735,0.336459
FITBolasso_network_L1600_M115_support97.1_2.73e-07,1049.79,22.7936,742.268,1582.89,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1065.68,23.5521,753.502,1635.56,1850730,20.496,1308580,1423.33,1850730,25.0835,1308580,0.0887417,0.363676,0.323911,0.335735,0.336459
FITBolasso_network_L1600_M115_support97.1_5.88e-07,1049.79,22.7936,742.268,1582.89,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1065.68,23.5521,753.502,1635.56,1850730,20.496,1308580,1423.33,1850730,25.0835,1308580,0.0887417,0.363676,0.323911,0.335735,0.336459
FITBolasso_network_L1595_M115_support97.1_1.27e-05,1049.22,22.7712,741.865,1581.33,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1184.87,22.6908,837.781,1575.75,1901800,20.2335,1344690,1405.1,1901800,25.0835,1344690,0.107988,0.367648,0.320603,0.373287,0.324154
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1152.83,23.49,815.123,1631.25,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1059.41,25.5912,749.073,1777.17,1902980,23.5508,1345530,1635.47,1902980,25.0835,1345530,0.239294,0.370884,0.340922,0.333762,0.365589
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1018.6,23.045,720.212,1600.35,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1022.73,23.9362,723.136,1662.24,1934840,20.3079,1368060,1410.27,1934840,25.0835,1368060,0.0812656,0.314403,0.354543,0.322205,0.341946
FITBolsco_network_L1095_M115_support96_7.13e-03,842.49,19.2817,595.694,1339,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,842.945,20.1179,596.016,1397.07,1970640,18.523,1393370,1286.32,1970640,25.0835,1393370,0.243206,0.288323,0.279433,0.265565,0.287398
FITBolasso_network_L1031_M115_support97.2_2.01e-03,1115.14,24.4645,788.478,1698.92,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1196.69,24.8567,846.134,1726.16,2151910,20.4991,1521530,1423.55,2151910,25.0835,1521530,0.150137,0.379619,0.361931,0.377009,0.355095
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1272.41,27.3137,899.674,1896.78,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1241.31,28.5813,877.682,1984.81,2238800,22.4898,1582970,1561.79,2238800,25.0835,1582970,0.0948987,0.426024,0.401188,0.391066,0.408305
FITBolsco_network_L649_M115_support89.5_1.63e-02,54.6222,123.809,38.6214,8597.87,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,8.67471,134.462,6.13357,9337.67,2248870,301.929,1590090,20967.3,2248870,25.0835,1590090,0.265536,0.00271554,1.91003,0.00273291,1.92089
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1102.33,23.1517,779.419,1607.75,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,999.281,25.0821,706.555,1741.81,2344270,20.4312,1657550,1418.83,2344270,25.0835,1657550,0.218032,0.365688,0.323011,0.314817,0.358316
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1219.47,25.9997,862.244,1805.54,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1158.34,27.5952,819.019,1916.33,2377510,20.8455,1681050,1447.61,2377510,25.0835,1681050,0.142366,0.405155,0.374214,0.364928,0.394217
FITBolsco_network_L803_M115_support90.3_1.24e-02,883.162,17.4748,624.452,1213.53,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,779.821,19.5749,551.383,1359.37,2571120,16.8096,1817950,1167.33,2571120,25.0835,1817950,0.288068,0.286768,0.25939,0.245678,0.279642
FITBolasso_network_L1486_M115_support97.1_3.82e-04,951.997,21.1039,673.123,1465.55,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,906.656,22.3491,641.063,1552.02,2758990,18.1317,1950780,1259.14,2758990,25.0835,1950780,0.0643109,0.290184,0.318658,0.285636,0.319273
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1182.61,24.6579,836.18,1712.35,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1074.48,26.4965,759.725,1840.03,2786870,21.3787,1970490,1484.63,2786870,25.0835,1970490,0.138205,0.403875,0.359029,0.338508,0.378521
