sNET, RSS of Yobs-YNF without the left out experiment, RSS of Pobs-PNF without the left out experiment, WRSS of Yobs-YNF without the left out experiment, WRSS of Pobs-PNF without the left out experiment, RSS of Yobs without the left out experiment , RSS of Pobs without the left out experiment , WRSS of Yobs without the left out experiment , WRSS of Pobs without the left out experiment , RSS(Yobs), RSS(Pobs), WRSS(Yobs), WRSS(Pobs), RSS(Eobs), RSS(Fobs), WRSS(Eobs), WRSS(Fobs), RSS(Yobs-Ypred) LOO, RSS(Pobs-Ppred) LOO, WRSS(Yobs-Ypred) LOO, WRSS(Pobs-Ppred) LOO, Y pred for LOO, RSS of linear combination of P, WRSS of prediction of Y, SPCorr, relErrorY, relErrorP, relErrorYdouble, relErrorPdouble
FITBolsco_network_L1591_M115_support97_1.60e-04,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1593_M115_support97.1_7.46e-05,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1596_M115_support97.1_3.53e-05,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1597_M115_support97.1_1.70e-05,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1598_M115_support97.1_1.86e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1598_M115_support97.1_2.71e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1598_M115_support97.1_4.54e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1598_M115_support97.1_8.48e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1599_M115_support97.1_1.47e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1119.46,22.5321,791.533,1564.73,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1179.09,22.9538,833.693,1594.02,110838000,20.5821,78369500,1429.31,110838000,25.0835,78369500,0.0453331,0.365654,0.319975,0.371466,0.327912
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1213.78,25.7537,858.221,1788.45,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1188.12,26.9983,840.073,1874.88,129907000,22.9374,91852600,1592.88,129907000,25.0835,91852600,0.137961,0.382584,0.3767,0.374309,0.385691
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1166.24,24.5899,824.606,1707.63,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1061.46,26.5245,750.519,1841.98,162222000,21.0202,114701000,1459.73,162222000,25.0835,114701000,0.0557838,0.377801,0.3467,0.334406,0.378921
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1130.47,23.1832,799.315,1609.94,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1038.27,25.001,734.123,1736.18,187388000,21.7738,132495000,1512.07,187388000,25.0835,132495000,0.238411,0.36944,0.338138,0.327101,0.357157
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1118.53,25.3159,790.87,1758.05,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1188.62,25.7203,840.431,1786.13,194627000,22.587,137614000,1568.54,194627000,25.0835,137614000,0.129371,0.369545,0.375475,0.374468,0.367433
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1022.32,23.9653,722.842,1664.26,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1068.29,24.4861,755.348,1700.42,203319000,22.7824,143759000,1582.11,203319000,25.0835,143759000,0.170047,0.314581,0.351507,0.336558,0.349801
FITBolasso_network_L1384_M115_support97.4_6.65e-04,1089.55,23.7376,770.385,1648.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,999.691,25.4661,706.845,1768.48,223655000,21.6426,158139000,1502.96,223655000,25.0835,158139000,0.0125037,0.365617,0.347046,0.314947,0.363802
FITBolsco_network_L1466_M115_support96.4_1.79e-03,946.441,20.4746,669.194,1421.85,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1054.06,20.4202,745.288,1418.07,235405000,19.0086,166446000,1320.04,235405000,25.0835,166446000,0.242041,0.286038,0.31687,0.332075,0.291717
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1033.35,23.7954,730.642,1652.46,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1166.34,23.4256,824.673,1626.77,371842000,22.1789,262916000,1540.2,371842000,25.0835,262916000,0.0496238,0.31478,0.345593,0.367447,0.334651
FITBolsco_network_L1423_M115_support96.2_2.36e-03,1023.73,21.4138,723.841,1487.07,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,986.795,22.5456,697.727,1565.67,463080000,19.8443,327427000,1378.08,463080000,25.0835,327427000,0.293146,0.30606,0.332879,0.310884,0.32208
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1071.82,24.1726,757.845,1678.65,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1078.07,25.1064,762.261,1743.5,565177000,20.0155,399616000,1389.96,565177000,25.0835,399616000,0.147347,0.32601,0.36,0.339638,0.358663
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1179.05,25.8156,833.662,1792.75,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1256.38,26.221,888.338,1820.9,600266000,19.4656,424426000,1351.78,600266000,25.0835,424426000,0.0209366,0.361693,0.374408,0.395814,0.374585
FITBolsco_network_L1497_M115_support96.6_1.36e-03,856.881,20.6356,605.869,1433.03,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,874.437,21.304,618.283,1479.45,713227000,18.6321,504297000,1293.9,713227000,25.0835,504297000,0.151217,0.290923,0.306114,0.275486,0.304343
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1127.18,24.778,796.99,1720.69,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1257.21,24.6452,888.929,1711.47,1139120000,20.7056,805429000,1437.89,1139120000,25.0835,805429000,0.075097,0.382184,0.352562,0.396077,0.352075
FITBolasso_network_L1253_M115_support97.6_1.16e-03,1181.27,26.1168,835.234,1813.67,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1169.26,27.1777,826.743,1887.34,1433220000,22.3403,1013380000,1551.41,1433220000,25.0835,1013380000,0.194357,0.356906,0.388376,0.368369,0.388253
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1145.33,24.9205,809.821,1730.59,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1193.07,25.507,843.575,1771.32,1902690000,22.1635,1345320000,1539.13,1902690000,25.0835,1345320000,0.0586567,0.378784,0.347012,0.375869,0.364386
FITBolsco_network_L1293_M115_support97.9_4.10e-03,918.312,18.8865,649.305,1311.56,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,819.351,20.7281,579.333,1439.45,1980140000,17.46,1400080000,1212.5,1980140000,25.0835,1400080000,0.265585,0.305361,0.281198,0.258132,0.296116
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1165.66,26.2617,824.194,1823.73,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1285.65,26.3481,909.035,1829.73,2181860000,22.7907,1542720000,1582.69,2181860000,25.0835,1542720000,0.0875868,0.401037,0.386346,0.405036,0.376402
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,120.493,198.36,85.1959,13775,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,10.732,227.299,7.58823,15784.6,3241090000,459.727,2291660000,31925.5,3241090000,25.0835,2291660000,0.0273392,0.00308938,3.29407,0.00338106,3.24713
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1284.67,26.5839,908.343,1846.1,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1256.96,28.0596,888.753,1948.58,3649560000,23.1888,2580470000,1610.33,3649560000,25.0835,2580470000,0.151665,0.415005,0.394401,0.395998,0.400852
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1174.72,26.1407,830.601,1815.33,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1111.57,27.7123,785.951,1924.47,3693410000,20.1254,2611470000,1397.6,3693410000,25.0835,2611470000,0.0444508,0.369148,0.382445,0.350193,0.39589
FITBolsco_network_L1370_M115_support95.8_3.11e-03,999.933,22.4953,707.016,1562.17,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1074.42,22.8089,759.685,1583.95,4367840000,19.8163,3088340000,1376.13,4367840000,25.0835,3088340000,0.19584,0.358309,0.328841,0.33849,0.325841
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1102.45,24.7132,779.499,1716.2,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1201.17,24.9364,849.306,1731.7,5863080000,19.8212,4145570000,1376.47,5863080000,25.0835,4145570000,0.0452508,0.336151,0.376759,0.378422,0.356235
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1143.43,24.0226,808.479,1668.23,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1115.66,25.258,788.844,1754.03,5894430000,21.1277,4167740000,1467.2,5894430000,25.0835,4167740000,0.0320085,0.383321,0.335736,0.351482,0.360828
FITBolsco_network_L1202_M115_support94.6_5.41e-03,849.998,19.6757,601.003,1366.37,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,863.129,20.3401,610.287,1412.5,6343250000,18.1116,4485080000,1257.75,6343250000,25.0835,4485080000,0.140066,0.274465,0.295253,0.271923,0.290572
FITBolsco_network_L1095_M115_support93.5_7.13e-03,853.963,18.8105,603.806,1306.28,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,966.828,18.5424,683.609,1287.67,8891960000,17.2808,6287180000,1200.05,8891960000,25.0835,6287180000,0.0901201,0.290236,0.268992,0.304593,0.264892
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1317.72,28.5629,931.713,1983.53,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1241.63,30.1429,877.912,2093.26,10048200000,23.1586,7104700000,1608.24,10048200000,25.0835,7104700000,0.0465375,0.398528,0.425484,0.391168,0.430613
FITBolsco_network_L949_M115_support92.2_9.40e-03,831.579,19.8294,587.979,1377.04,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,930.218,19.6299,657.723,1363.18,10601400000,17.7714,7495870000,1234.13,10601400000,25.0835,7495870000,0.179076,0.27913,0.293981,0.293059,0.280427
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1088.24,24.1556,769.456,1677.47,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1053.88,25.3652,745.159,1761.47,25414500000,20.9947,17969700000,1457.96,25414500000,25.0835,17969700000,0.0735123,0.367949,0.357555,0.332018,0.36236
FITBolsco_network_L1293_M115_support95.3_4.10e-03,1051.09,23.7304,743.184,1647.95,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1219.63,23.4275,862.359,1626.91,32125800000,20.605,22715000000,1430.9,32125800000,25.0835,22715000000,0.12313,0.381092,0.343922,0.384238,0.334678
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1182.03,24.1218,835.768,1675.12,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1209.96,24.8729,855.517,1727.28,1.62695E+11,20.9897,1.15036E+11,1457.62,1.62695E+11,25.0835,1.15036E+11,0.0789541,0.3943,0.354618,0.38119,0.355327
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1168.47,24.6175,826.179,1709.55,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1128.37,26.0005,797.83,1805.59,3.09135E+11,21.4877,2.18578E+11,1492.2,3.09135E+11,25.0835,2.18578E+11,0.0220742,0.389698,0.358468,0.355486,0.371435
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1013.44,23.7549,716.567,1649.65,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1043.04,24.4322,737.499,1696.68,7.30489E+11,21.5127,5.16502E+11,1493.94,7.30489E+11,25.0835,5.16502E+11,0.0152903,0.32051,0.360289,0.328605,0.349032
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1123.87,23.7436,794.651,1648.86,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1196.06,24.1228,845.692,1675.19,8.98041E+11,20.846,6.34972E+11,1447.64,8.98041E+11,25.0835,6.34972E+11,0.0897517,0.326314,0.365615,0.376812,0.344611
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1179.58,25.3426,834.036,1759.9,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1115.06,26.8992,788.419,1868,2.03904E+12,23.1555,1.44173E+12,1608.02,2.03904E+12,25.0835,1.44173E+12,0.0347326,0.377233,0.373498,0.351293,0.384274
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1137.7,25.7534,804.426,1788.43,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1217.7,26.0147,860.988,1806.57,2.65075E+12,22.8628,1.87425E+12,1587.7,2.65075E+12,25.0835,1.87425E+12,0.0414944,0.339873,0.383354,0.383628,0.371638
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1259.83,27.0687,890.78,1879.77,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1203.52,28.48,850.967,1977.78,4.03094E+12,21.9173,2.85013E+12,1522.03,4.03094E+12,25.0835,2.85013E+12,0.0363597,0.423625,0.403576,0.379163,0.406857
FITBolasso_network_L898_M115_support96.8_2.65e-03,1162.81,25.3955,822.183,1763.57,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1115.95,26.7143,789.046,1855.16,9.96014E+12,21.78,7.04245E+12,1512.5,9.96014E+12,25.0835,7.04245E+12,0.0732932,0.368493,0.378573,0.351572,0.381633
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1216.71,26.7663,860.291,1858.77,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1333,26.8858,942.518,1867.07,1.27786E+14,23.2588,9.03526E+13,1615.2,1.27786E+14,25.0835,9.03526E+13,0.0578512,0.406032,0.389899,0.419954,0.384084
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1187.41,24.3576,839.572,1691.5,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1096.3,26.3106,775.155,1827.13,2.42884E+14,21.6065,1.71734E+14,1500.45,2.42884E+14,25.0835,1.71734E+14,0.052695,0.380867,0.356475,0.345383,0.375866
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1064.65,22.5917,752.774,1568.87,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1033.6,23.8156,730.824,1653.86,3.01965E+14,19.0488,2.13508E+14,1322.84,3.01965E+14,25.0835,2.13508E+14,0.0674499,0.35495,0.332638,0.325631,0.340222
FITBolasso_network_L10_M115_support41.2_9.61e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolasso_network_L1557_M115_support100.1_1.27e-04,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolasso_network_L1583_M115_support100.1_5.88e-05,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolasso_network_L1591_M115_support100.1_2.73e-05,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolasso_network_L175_M115_support70.1_2.41e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,0.442988,0.443291,NaN,NaN
FITBolasso_network_L23_M115_support44.1_7.29e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolasso_network_L277_M115_support80.4_1.83e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolasso_network_L31_M115_support49.4_5.53e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolasso_network_L342_M115_support85.3_1.39e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1347.99,29.7364,953.116,2065.02,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,0.450604,0.416055,0.424677,0.424805
FITBolasso_network_L342_M115_support87.2_1.39e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1261.61,30.4185,892.04,2112.39,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,0.455843,0.417351,0.397463,0.43455
FITBolasso_network_L45_M115_support58.3_4.19e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolasso_network_L96_M115_support64.8_3.18e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolsco_network_L1581_M115_support100.1_3.42e-04,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolsco_network_L1591_M115_support100.1_1.60e-04,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolsco_network_L18_M115_support10.5_1.96e-01,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBolsco_network_L7_M115_support0.2_2.59e-01,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L1032_M115_support97.6_1.07e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L10_M115_support30_6.74e-01,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L1555_M115_support99.9_5.91e-04,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L1595_M115_support100.1_4.00e-05,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L1597_M115_support100.1_2.56e-05,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L1598_M115_support100.1_1.58e-05,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L1598_M115_support100.1_1.89e-05,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L16_M115_support26.5_5.11e-01,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L27_M115_support22_3.88e-01,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L293_M115_support71.6_5.61e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1362.4,32.2283,963.301,2238.08,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,0.485909,0.449616,0.429215,0.460404
FITBotlsco_network_L374_M115_support78.1_4.25e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L40_M115_support13.5_2.94e-01,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L40_M115_support15.4_2.94e-01,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L494_M115_support84.3_3.23e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L616_M115_support88.8_2.45e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L6_M115_support41.7_1.17e+00,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L741_M115_support92_1.86e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L7_M115_support36.2_8.89e-01,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN
FITBotlsco_network_L907_M115_support94.6_1.41e-02,NaN,NaN,NaN,NaN,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0835,NaN,NaN,NaN,NaN,NaN,NaN